customer_state,year_week,revenue,order_count,item_count,unique_customers,avg_freight_value,avg_delivery_time,unique_sellers,category_diversity,avg_review_score,avg_installments,avg_order_value,late_delivery_rate,seller_customer_ratio,positive_review_rate,month_sin,month_cos,week_sin,week_cos,population,gdp_per_capita,purchasing_power_index,sales_per_capita,orders_per_capita,customer_penetration,penetration_gap,seller_density,revenue_growth_1w,revenue_growth_4w,order_growth_1w,revenue_lag_1,revenue_lag_2,revenue_lag_4,revenue_lag_8,orders_lag_1,customers_lag_1,revenue_rolling_4,revenue_rolling_8,revenue_rolling_12,revenue_ewm_4,revenue_ewm_8,target_next_revenue
AC,2017-07-24/2017-07-30,109.9,1.0,1.0,1.0,30.3,15.037037037037036,1.0,1.0,5.0,1.0,109.9,0.0,1.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,829619,17204.211323511154,0.6329804434934224,0.00013247044727760575,1.2053725866934098e-06,1.2053725866934098e-06,1.1664896000258791e-07,0.0012053725866934097,0.2364,0.0,-0.5,88.89,119.9,0.0,119.99,2.0,2.0,127.1975,111.82125,174.10583333333332,122.55278971278253,140.2287430012163,298.99
AC,2017-07-31/2017-08-06,298.99,2.0,2.0,2.0,28.325000000000003,11.800167824074073,2.0,2.0,3.0,5.5,149.495,0.0,1.0,0.5,-0.8660254037844385,-0.5000000000000004,-0.5680647467311556,-0.8229838658936566,829619,17204.211323511154,0.6329804434934224,0.00036039434969546263,2.4107451733868195e-06,2.4107451733868195e-06,1.280708373361748e-06,0.0024107451733868194,1.7206,-0.0034,1.0,109.9,88.89,300.0,0.0,1.0,1.0,154.6725,110.56,103.93916666666667,117.491673156341,133.48623401191594,0.0
AC,2017-08-07/2017-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,829619,17204.211323511154,0.6329804434934224,0.0,0.0,0.0,-1.0957932606303724e-06,0.0,-1.0,-1.0,-1.0,298.99,109.9,119.9,189.9,2.0,2.0,154.42000000000002,147.93375,128.855,190.09100967173976,170.2766821443586,62.8
AC,2017-08-14/2017-08-20,62.8,1.0,1.0,1.0,25.47,34.658854166666664,1.0,1.0,4.0,8.0,62.8,0.0,1.0,1.0,-0.8660254037844385,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,829619,17204.211323511154,0.6329804434934224,7.569739844434614e-05,1.2053725866934098e-06,1.2053725866934098e-06,1.0635640470824214e-07,0.0012053725866934097,0.0,-0.2935,0.0,0.0,298.99,88.89,75.89,0.0,0.0,124.44500000000001,124.19624999999999,123.61333333333334,114.05460217215587,132.42795088780676,276.14
AC,2017-08-21/2017-08-27,276.14,1.0,1.0,1.0,45.78,14.021099537037037,1.0,1.0,5.0,1.0,276.14,0.0,1.0,1.0,-0.8660254037844385,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,829619,17204.211323511154,0.6329804434934224,0.0003328515860895182,1.2053725866934098e-06,1.2053725866934098e-06,1.0331765028800645e-07,0.0012053725866934097,3.3971,1.5126,0.0,62.8,0.0,109.9,0.0,1.0,1.0,117.9225,122.55999999999999,113.855,93.55276071589155,116.95206168466032,1084.99
AC,2017-08-28/2017-09-03,1084.99,2.0,2.0,2.0,52.71,39.71069444444444,2.0,2.0,3.0,4.5,542.495,0.5,1.0,0.5,-1.0,-1.8369701987210297e-16,-0.8854560256532096,-0.4647231720437691,829619,17204.211323511154,0.6329804434934224,0.0013078172028364828,2.4107451733868195e-06,2.4107451733868195e-06,1.2723377303985992e-06,0.0024107451733868194,2.9291,2.6289,1.0,276.14,62.8,298.99,300.0,1.0,1.0,159.48250000000002,157.0775,126.86749999999999,166.5876576850565,152.3325134403813,0.0
AC,2017-09-04/2017-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9350162426854147,-0.3546048870425359,829619,17204.211323511154,0.6329804434934224,0.0,0.0,0.0,-1.107639674258809e-06,0.0,-1.0,0.0,-1.0,1084.99,276.14,0.0,119.9,2.0,2.0,355.9825,255.20125,217.2833333333333,533.9485984001507,359.61413099398163,54.0
AC,2017-09-11/2017-09-17,54.0,1.0,1.0,1.0,46.91,13.206956018518518,1.0,1.0,5.0,1.0,54.0,0.0,1.0,1.0,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,829619,17204.211323511154,0.6329804434934224,6.509011968144413e-05,1.2053725866934098e-06,1.2053725866934098e-06,9.51609936863218e-08,0.0012053725866934097,0.0,-0.1401,0.0,0.0,1084.99,62.8,88.89,0.0,0.0,355.9825,240.21375,201.45833333333334,320.369157718321,279.6925629050556,337.9
AC,2017-09-18/2017-09-24,337.9,2.0,2.0,2.0,45.004999999999995,20.430214120370373,2.0,2.0,4.5,4.0,168.95,0.0,1.0,1.0,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,829619,17204.211323511154,0.6329804434934224,0.00040729539704370315,2.4107451733868195e-06,2.4107451733868195e-06,1.2671865654982e-06,0.0024107451733868194,5.2574,0.2237,1.0,54.0,0.0,276.14,109.9,1.0,1.0,353.7825,235.8525,199.63416666666663,213.82149423536055,229.53508857701092,159.99
AC,2017-09-25/2017-10-01,159.99,1.0,1.0,1.0,27.97,16.456793981481482,1.0,1.0,4.0,4.0,159.99,0.0,1.0,1.0,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,829619,17204.211323511154,0.6329804434934224,0.00019284756014507866,1.2053725866934098e-06,1.2053725866934098e-06,6.026862933467045e-08,0.0012053725866934097,-0.5265,-0.8525,-0.5,337.9,54.0,1084.99,298.99,2.0,2.0,369.22249999999997,264.35249999999996,227.7925,263.4528966517909,253.6175137281739,65.99
