customer_state,year_week,month,revenue,order_count,population,gdp_per_capita,week_of_year,month_sin,month_cos,week_sin,week_cos,revenue_growth_1w,revenue_growth_4w,revenue_lag_1,revenue_lag_2,revenue_lag_4,revenue_lag_8,revenue_rolling_4,revenue_rolling_8,revenue_rolling_12,target_next_revenue
DF,2018-03-26/2018-04-01,4,5,5,1000000,50000,13,0.8660254037844387,-0.4999999999999998,1.0,-1.6081226496766364e-16,-0.8275862068965517,-0.8333333333333334,29.0,35.0,30.0,45.0,31.75,31.125,30.583333333333332,28.0
DF,2018-04-02/2018-04-08,4,28,28,1000000,50000,14,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,4.6,-0.1515151515151515,5.0,29.0,33.0,37.0,25.5,26.125,28.416666666666668,34.0
DF,2018-04-09/2018-04-15,4,34,34,1000000,50000,15,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,0.2142857142857142,-0.02857142857142858,28.0,5.0,35.0,20.0,24.25,25.0,29.166666666666668,40.0
DF,2018-04-16/2018-04-22,4,40,40,1000000,50000,16,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,0.17647058823529416,0.3793103448275863,34.0,28.0,29.0,20.0,24.0,26.75,29.833333333333332,35.0
DF,2018-04-23/2018-04-29,4,35,35,1000000,50000,17,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,-0.125,6.0,40.0,34.0,5.0,30.0,26.75,29.25,29.666666666666668,4.0
DF,2018-04-30/2018-05-06,4,4,4,1000000,50000,18,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,-0.8857142857142857,-0.8571428571428572,35.0,40.0,28.0,33.0,34.25,29.875,28.833333333333332,29.0
DF,2018-04-30/2018-05-06,5,29,29,1000000,50000,18,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,6.25,-0.1470588235294118,4.0,35.0,34.0,35.0,28.25,26.25,26.083333333333332,43.0
DF,2018-05-07/2018-05-13,5,43,43,1000000,50000,19,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,0.48275862068965525,0.07499999999999996,29.0,4.0,40.0,29.0,27.0,25.5,26.833333333333332,42.0
DF,2018-05-14/2018-05-20,5,42,42,1000000,50000,20,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,-0.023255813953488413,0.19999999999999996,43.0,29.0,35.0,5.0,27.75,27.25,28.75,15.0
DF,2018-05-21/2018-05-27,5,15,15,1000000,50000,21,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,-0.6428571428571428,2.75,42.0,43.0,4.0,28.0,29.5,31.875,29.75,11.0
DF,2018-05-28/2018-06-03,5,11,11,1000000,50000,22,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,-0.2666666666666667,-0.6206896551724138,15.0,42.0,29.0,34.0,32.25,30.25,28.25,16.0
DF,2018-05-28/2018-06-03,6,16,16,1000000,50000,22,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,0.4545454545454546,-0.627906976744186,11.0,15.0,43.0,40.0,27.75,27.375,26.25,24.0
DF,2018-06-04/2018-06-10,6,24,24,1000000,50000,23,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,0.5,-0.4285714285714286,16.0,11.0,42.0,35.0,21.0,24.375,25.166666666666668,43.0
DF,2018-06-11/2018-06-17,6,43,43,1000000,50000,24,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,0.7916666666666667,1.8666666666666667,24.0,16.0,15.0,4.0,16.5,23.0,26.75,37.0
DF,2018-06-18/2018-06-24,6,37,37,1000000,50000,25,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,-0.13953488372093026,2.3636363636363638,43.0,24.0,11.0,29.0,23.5,27.875,28.0,27.0
DF,2018-06-25/2018-07-01,6,27,27,1000000,50000,26,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,-0.2702702702702703,0.6875,37.0,43.0,16.0,43.0,30.0,28.875,28.25,2.0
DF,2018-06-25/2018-07-01,7,2,2,1000000,50000,26,-0.4999999999999997,-0.8660254037844388,-3.216245299353273e-16,-1.0,-0.9259259259259259,-0.9166666666666666,27.0,37.0,24.0,42.0,32.75,26.875,27.166666666666668,26.0
DF,2018-07-02/2018-07-08,7,26,26,1000000,50000,27,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,12.0,-0.39534883720930236,2.0,27.0,43.0,15.0,27.25,21.875,24.416666666666668,28.0
DF,2018-07-09/2018-07-15,7,28,28,1000000,50000,28,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,0.07692307692307687,-0.2432432432432432,26.0,2.0,37.0,11.0,23.0,23.25,26.25,44.0
DF,2018-07-16/2018-07-22,7,44,44,1000000,50000,29,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,0.5714285714285714,0.6296296296296295,28.0,26.0,27.0,16.0,20.75,25.375,26.166666666666668,51.0
DF,2018-07-23/2018-07-29,7,51,51,1000000,50000,30,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,0.15909090909090917,24.5,44.0,28.0,2.0,24.0,25.0,28.875,26.25,14.0
DF,2018-07-30/2018-08-05,7,14,14,1000000,50000,31,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936565,-0.7254901960784313,-0.46153846153846156,51.0,44.0,26.0,43.0,37.25,32.25,27.0,34.0
DF,2018-07-30/2018-08-05,8,34,34,1000000,50000,31,-0.8660254037844384,-0.5000000000000004,-0.5680647467311556,-0.8229838658936565,1.4285714285714284,0.2142857142857142,14.0,51.0,28.0,37.0,34.25,28.625,26.916666666666668,46.0
DF,2018-08-06/2018-08-12,8,46,46,1000000,50000,32,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,0.3529411764705883,0.045454545454545414,34.0,14.0,44.0,27.0,35.75,28.25,28.833333333333332,43.0
DF,2018-08-13/2018-08-19,8,43,43,1000000,50000,33,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,-0.06521739130434778,-0.1568627450980392,46.0,34.0,51.0,2.0,36.25,30.625,31.333333333333332,20.0
ES,2016-10-03/2016-10-09,10,3,3,1000000,50000,40,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,0.0,0.0,,,,,,,,1.0
ES,2017-01-02/2017-01-08,1,1,1,1000000,50000,1,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,-0.6666666666666667,0.0,3.0,,,,,,,1.0
ES,2017-01-09/2017-01-15,1,1,1,1000000,50000,2,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0.0,0.0,1.0,3.0,,,2.0,2.0,2.0,4.0
ES,2017-01-16/2017-01-22,1,4,4,1000000,50000,3,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,3.0,0.0,1.0,1.0,,,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0
ES,2017-01-23/2017-01-29,1,2,2,1000000,50000,4,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,-0.5,-0.33333333333333337,4.0,1.0,3.0,,2.25,2.25,2.25,1.0
ES,2017-01-30/2017-02-05,1,1,1,1000000,50000,5,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,-0.5,0.0,2.0,4.0,1.0,,2.0,2.2,2.2,4.0
ES,2017-01-30/2017-02-05,2,4,4,1000000,50000,5,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,3.0,3.0,1.0,2.0,1.0,,2.0,2.0,2.0,11.0
ES,2017-02-06/2017-02-12,2,11,11,1000000,50000,6,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1.75,1.75,4.0,1.0,4.0,,2.75,2.2857142857142856,2.2857142857142856,8.0
ES,2017-02-13/2017-02-19,2,8,8,1000000,50000,7,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,-0.2727272727272727,3.0,11.0,4.0,2.0,3.0,4.5,3.375,3.375,7.0
ES,2017-02-20/2017-02-26,2,7,7,1000000,50000,8,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,-0.125,6.0,8.0,11.0,1.0,1.0,6.0,4.0,3.888888888888889,1.0
ES,2017-02-27/2017-03-05,2,1,1,1000000,50000,9,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,-0.8571428571428572,-0.75,7.0,8.0,4.0,1.0,7.5,4.75,4.2,9.0
ES,2017-02-27/2017-03-05,3,9,9,1000000,50000,9,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,8.0,-0.18181818181818177,1.0,7.0,11.0,4.0,6.75,4.75,3.909090909090909,9.0
ES,2017-03-06/2017-03-12,3,9,9,1000000,50000,10,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,0.0,0.125,9.0,1.0,8.0,2.0,6.25,5.375,4.333333333333333,14.0
ES,2017-03-13/2017-03-19,3,14,14,1000000,50000,11,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,0.5555555555555556,1.0,9.0,9.0,7.0,1.0,6.5,6.25,4.833333333333333,9.0
ES,2017-03-20/2017-03-26,3,9,9,1000000,50000,12,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,-0.3571428571428571,8.0,14.0,9.0,1.0,4.0,8.25,7.875,5.916666666666667,6.0
ES,2017-03-27/2017-04-02,3,6,6,1000000,50000,13,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,-0.33333333333333337,-0.33333333333333337,9.0,14.0,9.0,11.0,10.25,8.5,6.583333333333333,17.0
ES,2017-04-03/2017-04-09,4,17,17,1000000,50000,14,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,1.8333333333333335,0.8888888888888888,6.0,9.0,9.0,8.0,9.5,7.875,6.75,6.0
ES,2017-04-10/2017-04-16,4,6,6,1000000,50000,15,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,-0.6470588235294117,-0.5714285714285714,17.0,6.0,14.0,7.0,11.5,9.0,8.0,14.0
ES,2017-04-17/2017-04-23,4,14,14,1000000,50000,16,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,1.3333333333333335,0.5555555555555556,6.0,17.0,9.0,1.0,9.5,8.875,8.416666666666666,8.0
ES,2017-04-24/2017-04-30,4,8,8,1000000,50000,17,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,-0.4285714285714286,0.33333333333333326,14.0,6.0,6.0,9.0,10.75,10.5,9.25,19.0
ES,2017-05-01/2017-05-07,5,19,19,1000000,50000,18,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,1.375,0.11764705882352944,8.0,14.0,17.0,9.0,11.25,10.375,9.0,20.0
ES,2017-05-08/2017-05-14,5,20,20,1000000,50000,19,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,0.05263157894736836,2.3333333333333335,19.0,8.0,6.0,14.0,11.75,11.625,9.916666666666666,19.0
